#
# Do not edit this file. It will be replaced during upgrade. If you want to add named accounts, add them to names_custom.txt
#
addr	symbol	source	name	logo	description	contract	visible
0x85089389c14bd9c77fc2b8f0c3d1dc3363bf06ef	SPF	Etherscan.io	SPF	sportyco_28b.png	SPF Tokens will also be used to purchase additional services that SportyCo will provide to athletes, sports clubs, investors, and other participants in the ecosystem.	true	true
0x8542325b72c6d9fc0ad2ca965a78435413a915a0	SHL	Etherscan.io	Oyster Shell	oystershell_28.png	Shells are used to pay for connectivity and Dapp operation across the Oyster meshnet.	true	true
0x859a9c0b44cb7066d956a958b0b82e54c9e44b4b	IETH	Etherscan.io	iEthereum	iethereum_28.png	iEthereum aims to be a public Ethereum-based token for use in mainstream digital wallets, that enables real-time, peer-to-peer value exchange and payment services.	true	true
0x85e076361cc813a908ff672f9bad1541474402b2	TEL	Etherscan.io	Telcoin	telcoin_28.png	A cryptocurrency distributed by your mobile operator and accepted everywhere.	true	true
0x8606a8f28e1e2fd50b9074d65c01548b1f040b32	CTRT	Etherscan.io	Cryptrust	cryptrusttoken_28.png	Cryptrust is a Decentralized Trust-Based social platform for the cryptocurrency ecosystem.	true	true
0x865ec58b06bf6305b886793aa20a2da31d034e68	MOC	Etherscan.io	Moss Coin	moss_28.png	Location-based Augmented Reality Mobile Game based on Real Estate	true	true
0x869b1f57380ae501d387b19262efd3c0eb7501b0	OXY	Etherscan.io	Oxycoin	oxycoin2_28.png	The easiest and most secure way to buy, sell, and manage cryptocurrencies. Our vision is to offer a simple and yet secure way to join the world of cryptocurrencies.	true	true
0x86Fa049857E0209aa7D9e616F7eb3b3B78ECfdb0	EOS	Etherscan.io	EOS		Infrastructure for Decentralized Applications	true	true
0x86d5b3b108dbc56e9e5ea7d5c56a3e32ccadac35	AGVC	Etherscan.io	AgaveCoin	agave_28.png	Agave token is a 100% utility token that will be used for internal use by the Agave token company, with utilities to control agave inventories. This token will not be available for sale to the public. is exclusively for internal use in smart contracts within the company	true	true
0x86e44543164d9b97b14ef7f6f3ab7ba670cab346	QUIN	Etherscan.io	QUINADS	quinads_28.png	Quinads is an advertisement platform with blockchain based and allows users to socially interact and rewarded by cryptocurrency.	true	true
0x8713d26637cf49e1b6b4a7ce57106aabc9325343	CNN	Etherscan.io	CNN Token	cnn_28.png	Blockchain-based Content Ecosystem	true	true
0x8727c112c712c4a03371ac87a74dd6ab104af768	JET	Etherscan.io	Jetcoin	jetcoininstitute_28.png	Jetcoin Institute manages the distribution process of the digital fuel, Jetcoin (JET), via Jetcoin Contracts and proof of social engagement (P.O.S.E.)	true	true
0x877c7deb5eb1fc5faad30c71e3a6e39dc8b1519f	HB	Etherscan.io	HeartBout	hbc_28.png	HeartBout is a social network based on the blockchain technology with a decentralized system to encourage user activity.	true	true
0x87f5e8c3425218837f3cb67db941af0c01323e56	BTCONE	Etherscan.io	BitCoin ONE	btcone_28.png	No description	true	true
0x8810c63470d38639954c6b41aac545848c46484a	ADI	Etherscan.io	Aditus	aditus_28.png	Aditus is a revolutionary new platform bringing the world of luxury to crypto-affluents, through a privacy-centric decentralised network utilising smart contracts and blockchain technology.	true	true
0x881ef48211982d01e2cb7092c915e647cd40d85c	OTN	Etherscan.io	Open Trading Network	opentradingnetwork_28.png	Open Trading Network (OTN) – a platform that offers cross-chain technology to unite all blockchain networks and market participants, and ensure their best interests.	true	true
0x884181554dfa9e578d36379919c05c25dc4a15bb	Gene	Etherscan.io	Gene Source Code Chain	gene_28.png	The distributed storage network blockchain system that provides genetic data and individual health data integrated interface.	true	true
0x888666ca69e0f178ded6d75b5726cee99a87d698	ICN	Etherscan.io	ICONOMI	iconomi_28_2.png	ICONOMI Digital Assets Management platform enables simple access to a variety of digital assets and combined Digital Asset Arrays	true	true
0x88a3e4f35d64aad41a6d4030ac9afe4356cb84fa	PRE	Etherscan.io	Presearch	presearchtoken_28.png	Presearch is a decentralized search engine, powered by the community.	true	true
0x88d50b466be55222019d71f9e8fae17f5f45fca1	CPT	Etherscan.io	Cryptaur	cryptaur1_28.png	Cryptaur is a decentralized applications store with a mission to transform and ultimately allow for the implementation of a reinvented shared economic system.	true	true
0x88fcfbc22c6d3dbaa25af478c578978339bde77a	KAT	Etherscan.io	Katalyse	katalyse_28.png	FundYourselfNow is a simple platform to allow project creators/promoters to raise funds for their projects using cryptocurrencies without the need of technical knowledge.	true	true
0x89205A3A3b2A69De6Dbf7f01ED13B2108B2c43e7	UNI	Ethereum.org	Unicorns		Ethereum tip jar unicorn tokens	true	true
0x89303500a7abfb178b274fd89f2469c264951e1f	REF	Etherscan.io	RefToken	reftoken_28.png	Decentralized Affiliate platform	true	true
0x8971f9fd7196e5cee2c1032b50f656855af7dd26	LAMB	Etherscan.io	Lambda	lambda_28.png	No description	true	true
0x899338b84d25ac505a332adce7402d697d947494	WIN	Etherscan.io	WCOIN	wawllet_28.png	WAWLLET is a multi-asset wallet and personal financial passport.	true	true
0x89c6c856a6db3e46107163d0cda7a7ff211bd655	DEC	Etherscan.io	Darico Ecosystem Coin	darico_28.png	Darico’s complete solution lets you monitor, trade, invest and spend your cryptocurrencies all from one integrated ecosystem.	true	true
0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359	DAI	Etherscan.io	Dai Stablecoin v1.0	dai_stablecoin.png	No description	true	true
0x8a854288a5976036a725879164ca3e91d30c6a1b	GET	Etherscan.io	Guaranteed Entrance Token	gutstickets.png	GUTS aims to use blockchain technology to create a transparent ticketing ecosystem, where disgraceful secondary market prices and ticket fraud are non-existent.	true	true
0x8a88f04e0c905054d2f33b26bb3a46d7091a039a	IG	Etherscan.io	IG	ignite_28.png	An unprecedented prediction market of based decentralization network. High centralization hinders social progress. Therefore, we hope to establish a completely decentralized Consensus Prediction System, and everyone's weight is equal.	true	true
0x8a99ed8a1b204903ee46e733f2c1286f6d20b177	NTO	Etherscan.io	Fujinto	fujinto_28.png	FUJINTO is aims to make the paying process in the website, online booking application easier and reduce the risk for the users.	true	true
0x8aa33a7899fcc8ea5fbe6a608a109c3893a1b8b2	BET	Etherscan.io	Dao.Casino	dao_casino.png	Blockchain protocol for gambling.	true	true
0x8ae4bf2c33a8e667de34b54938b0ccd03eb8cc06	PTOY	Etherscan.io	Patientory	ptoy.png	Patientory is an easy way to securely store and manage health information in real time.	true	true
0x8b353021189375591723e7384262f45709a3c3dc	TOMO	Etherscan.io	Tomocoin	tomo_28.png	Building an efficient blockchain infrastructure for decentralized applications, token issuance and integration	true	true
