"fromName","ethSpent","usdSpent"
"0x4a5b536a613e69f43a52f6aa7a7f3765428329ad (anon)",0.0179147893477567,70.11
"0x4a706cfc1a4440b785458a1e3ba45a10c344e5dd (anon)",0.00564430188944977,17.39
"0x4af997f78067dc2458cde261ffab863afa5cc357 (anon)",0.00436757180105377,13.45
"0x4b7389c67d8dbeead35979edc7c5fa27226eb9b8 (anon)",0.00486888066837527,15.05
"0x4b77909b88acd29d364fa4b3cc8ac9464aa9e32a (anon)",0.00618145439410004,19.1
"0x4b8931d892e6a993d0195c02385a42a66005e58f (anon)",0.00113384,2.93
"0x4b8ad27ed570255473d8e2cc3a93b189ef06dd06 (anon)",0.00113384,2.93
"0x4b93340bde2b254f21b1591ca8dab7b58945ad39 (anon)",0.00634326781693015,19.6
"0x4c0a466df0628fe8699051b3ac6506653191cc21 (tvanepps trent_vanepps)",0.0471773378254754,155.4
"0x4c164c5301addb304193146bd350c98a6950f1ae (anon)",0.00559257501973818,17.28
"0x4c22a285896e500ab8a85fc372e56f2c990794c3 (anon)",0.00248200294284709,6.29
"0x4c7909d6f029b3a5798143c843f4f8e5341a3473 (anon)",0.0151036291125965,62.92
"0x4cfd8997fa4534c69b3e5f4d7af4cbdf30abd142 (anon)",0.00084089335503183,1.73
"0x4d477f1aabcfc2fc3fc9b802e861c013e0123ad9 (anon)",0.00715613395548851,13.11
"0x4d70990f98551b89a3c72734bfea31dd914da2bd (anon)",0.00505526512959211,15.63
"0x4e19646b2744021690f7da584117b083dc73a412 (anon)",0.00643777163303775,29.87
"0x4e3c1d2e5300d0341135bfcc03d8075693585ce2 (anon)",0.00113384,2.93
"0x4ec6bea134099b42f1cc9542aa26c98c0dfee264 (anon)",0.00469181497322506,11.9
"0x4fa4167b3c94a80416bbc768fb919bf3ace9f8c2 (anon)",0.00264245338048557,6.67
"0x500d1ad4a32708004d9ceb3e3c56e20d8d9260ed (anon)",0.00552618307352942,17.08
"0x50391a21cd153598bf1460d7d1efc0947e5f8e96 (anon)",0.00801501893927143,24.69
"0x50c0dbacf5d99cdd70e57dfd26d43fff89f9b4f2 (anon)",0.00756428381149987,23.38
"0x50d3f0b10fec6ea094c0e2714ac293e5261b22a9 (anon)",0.00113384,2.93
"0x51807b8d96e96f5c26adab145b9292f38eb8ec8e (anon)",0.00958311384805797,44.09
"0x521aacb43d89e1b8ffd64d9ef76b0a1074dedaf8 (Grant 1650 Hiblock区块链社区 - Hiblock Community)",0.041038128607982,132.58
"0x522b72f0963a33168a55c4ff3c699376c2c1041f (anon)",0.00447845633720314,14.85
"0x523d007855b3543797e0d3d462cb44b601274819 (anon)",0.00289574247768936,7.94
"0x5291f0a0a7c5b27cb4e35baadad4f0776aabb7d9 (anon)",0.00113384,2.93
"0x52cbcf67e76b9537a92955c50c0becac0addc006 (anon)",0.0021057022362022,5.35
"0x54b254684380af671fbfdfbc086591b22c462790 (anon)",0.00444347787970686,11.36
"0x54becc7560a7be76d72ed76a1f5fee6c5a2a7ab6 (Grant 0747 Simona Pop's Ecosystem Development Activity)",0.353998470914414,1152.78
"0x54c375c481f95ba43e2cecd6ef30631f55518f57 (anon)",0.00680038134631487,27.05
"0x5681ff2150b6e39e00d972598fdb8a19d761f506 (anon)",0.00156869977974878,4.28
"0x57037b585567535ff910fad7f3f1e687958cbc5a (anon)",0.00449077421086573,13.88
"0x5712171abca3743563a4594430b4cfe123711d9e (anon)",0.00456893790151004,14.07
"0x575b498f184aa6785efd25fe68f3702e2157e8c6 (anon)",0.00601649636935111,18.6
"0x5869cecfc285e2cbd115f69df3495927dc763794 (anon)",0.00552618307352942,17.08
"0x59c9d046d43b28816393825a3688d93b82bdd625 (anon)",0.00113384,2.93
"0x59d6779eca6c91ed7679e261b54299b5155eadf0 (anon)",0.0371617966110988,152.78
"0x5a1d1fac4b19162408a795bf385a95cd4692c2c9 (anon)",0.00419782502241098,18.57
"0x5a27d268e830655e908a0a2c3b24f572695af5e8 (anon)",0.00619311140760454,21.57
"0x5a5426030765baaed938c4c9ee865af2fbeaaba4 (anon)",0.00113384,2.93
"0x5b716577ee35a146846f1fa33f6c3d0138ebc468 (anon)",0.00113384,2.93
"0x5ba02f4ff6af1d9d2af8774d10fd32eb57d4e2e6 (anon)",0.00947554165522494,29.73
"0x5be10f3434bc1ac6c0a34f86da39ea0095392f21 (anon)",0.00199727139994453,5.97
"0x5bfe77c263ffeb120dcd40523473852b3bc5a932 (anon)",0.000921245,1.9
"0x5c07271a50c18c0a93e5d72dc45e561e3bd3e07e (anon)",0.000921245,1.9
"0x5e349eca2dc61abcd9dd99ce94d04136151a09ee (ljxie)",0.182426848896887,676.93
"0x5e4ec235c2e7be6e0501f7d4ec3b02edb4f84405 (anon)",0.00084727120503183,1.75
"0x5e625fe8b18a18823795308015e6734e9f125720 (anon)",0.00505526512959211,15.63
"0x600f4649fd944e8b89677546b3f5b23875ccba71 (anon)",0.00084089335503183,1.73
