DATE	ENDBLOCK
6/24/17	3925242
6/25/17	3930168
6/26/17	3935133
6/27/17	3940134
6/28/17	3945095
6/29/17	3950122
6/30/17	3955158
7/1/17	3960167
7/2/17	3965201
7/3/17	3970253
7/4/17	3975331
7/5/17	3980316
7/6/17	3985362
7/7/17	3990446
7/8/17	3995533
7/9/17	4000627
7/10/17	4005221
7/11/17	4009741
7/12/17	4014250
7/13/17	4018762
7/14/17	4023264
7/15/17	4027867
7/16/17	4032442
7/17/17	4036901
7/18/17	4041452
7/19/17	4046089
7/20/17	4050721
7/21/17	4055264
7/22/17	4059913
7/23/17	4064573
7/24/17	4069155
7/25/17	4073841
7/26/17	4078491
7/27/17	4083125
7/28/17	4087772
7/29/17	4092455
7/30/17	4097159
7/31/17	4101694
8/1/17	4105781
8/2/17	4109825
8/3/17	4113801
8/4/17	4117841
8/5/17	4121875
8/6/17	4125907
8/7/17	4130001
8/8/17	4134094
8/9/17	4138207
8/10/17	4142236
8/11/17	4146341
8/12/17	4150454
8/13/17	4154583
8/14/17	4158716
8/15/17	4162848
8/16/17	4167014
8/17/17	4171158
8/18/17	4175294
8/19/17	4179505
8/20/17	4183661
8/21/17	4187894
8/22/17	4192079
8/23/17	4196295
8/24/17	4200479
8/25/17	4204033
8/26/17	4207532
8/27/17	4211046
8/28/17	4214492
8/29/17	4218033
8/30/17	4221564
8/31/17	4225037
9/1/17	4228558
9/2/17	4232099
9/3/17	4235638
9/4/17	4239165
9/5/17	4242724
9/6/17	4246234
9/7/17	4249781
9/8/17	4253373
9/9/17	4256934
9/10/17	4260508
9/11/17	4264059
9/12/17	4267662
9/13/17	4271198
9/14/17	4274797
9/15/17	4278413
9/16/17	4282022
9/17/17	4285652
9/18/17	4289209
9/19/17	4292837
9/20/17	4296437
9/21/17	4300082
9/22/17	4303083
9/23/17	4305967
9/24/17	4308905
9/25/17	4311741
9/26/17	4314631
9/27/17	4317535
9/28/17	4320391
9/29/17	4323220
9/30/17	4326060
10/1/17	4328922
10/2/17	4331764
10/3/17	4334626
10/4/17	4337512
10/5/17	4340458
10/6/17	4343306
10/7/17	4346154
10/8/17	4349033
10/9/17	4351915
10/10/17	4354830
10/11/17	4357745
10/12/17	4360644
10/13/17	4363535
10/14/17	4366422
10/15/17	4369347
10/16/17	4373901
10/17/17	4379951
10/18/17	4386172
10/19/17	4392413
10/20/17	4398650
10/21/17	4404879
10/22/17	4411159
10/23/17	4417413
10/24/17	4423661
10/25/17	4429837
10/26/17	4435994
10/27/17	4442223
10/28/17	4448463
10/29/17	4454657
