DATE	STARTBLOCK
2/17/18	5103471
2/18/18	5109507
2/19/18	5115491
2/20/18	5121389
2/21/18	5127203
2/22/18	5133052
2/23/18	5138925
2/24/18	5144851
2/25/18	5150701
2/26/18	5156559
2/27/18	5162362
2/28/18	5168227
3/1/18	5174125
3/2/18	5180004
3/3/18	5185903
3/4/18	5191852
3/5/18	5197733
3/6/18	5203618
3/7/18	5209508
3/8/18	5215423
3/9/18	5221279
3/10/18	5227177
3/11/18	5233070
3/12/18	5239027
3/13/18	5244850
3/14/18	5250715
3/15/18	5256558
3/16/18	5262439
3/17/18	5268357
3/18/18	5274213
3/19/18	5280146
3/20/18	5286107
3/21/18	5292066
3/22/18	5298000
3/23/18	5304014
3/24/18	5309982
3/25/18	5316040
3/26/18	5322064
3/27/18	5328068
3/28/18	5333991
3/29/18	5339940
3/30/18	5345807
3/31/18	5351745
4/1/18	5357795
4/2/18	5363811
4/3/18	5369905
4/4/18	5375904
4/5/18	5381905
4/6/18	5387961
4/7/18	5394012
4/8/18	5400061
4/9/18	5406119
4/10/18	5412114
4/11/18	5418187
4/12/18	5424149
4/13/18	5430047
4/14/18	5435970
4/15/18	5441887
4/16/18	5447826
4/17/18	5453758
4/18/18	5459593
4/19/18	5465388
4/20/18	5471198
4/21/18	5476913
4/22/18	5482796
4/23/18	5488698
4/24/18	5494474
4/25/18	5500194
4/26/18	5506012
4/27/18	5511879
4/28/18	5517593
4/29/18	5523306
4/30/18	5529139
5/1/18	5534863
5/2/18	5540485
5/3/18	5546197
5/4/18	5551878
5/5/18	5557510
5/6/18	5563251
5/7/18	5569014
5/8/18	5574849
5/9/18	5580583
5/10/18	5586313
5/11/18	5591996
5/12/18	5597747
5/13/18	5603501
5/14/18	5609261
5/15/18	5614899
5/16/18	5620631
5/17/18	5626276
5/18/18	5631980
5/19/18	5637616
5/20/18	5643219
5/21/18	5648861
5/22/18	5654548
5/23/18	5660149
5/24/18	5665804
5/25/18	5671367
5/26/18	5677002
5/27/18	5682721
5/28/18	5688355
5/29/18	5694059
5/30/18	5699708
5/31/18	5705317
6/1/18	5710964
6/2/18	5716588
6/3/18	5722220
6/4/18	5727839
6/5/18	5733511
6/6/18	5739102
6/7/18	5744735
6/8/18	5750374
6/9/18	5756053
6/10/18	5761663
6/11/18	5767304
6/12/18	5772961
6/13/18	5778675
6/14/18	5784427
6/15/18	5790192
6/16/18	5795974
6/17/18	5801845
6/18/18	5807760
6/19/18	5813714
6/20/18	5819516
6/21/18	5825339
6/22/18	5831211
6/23/18	5837031
6/24/18	5842953
6/25/18	5848834
6/26/18	5854499
6/27/18	5860247
6/28/18	5866094
6/29/18	5871856
6/30/18	5877620
7/1/18	5883490
