address	encoding	type	constant	name	signature	input_names
0x0d8775f648430679a709e98d2b0cb6250d2887ef	0xdd62ed3e	function	1	allowance	allowance(address,address)	_owner,_spender,
0x0d8775f648430679a709e98d2b0cb6250d2887ef	0xb6c0eca8138e097d71e2dd31e19a1266487f0553f170b7260ffe68bcbe9ff8a7	event	0	LogRefund	LogRefund(address,uint256)	_to,_value,
0x0d8775f648430679a709e98d2b0cb6250d2887ef	0xb33527d2e0d30b7aece2c5e82927985866c1b75173d671c14f4457bf67aa6910	event	0	CreateBAT	CreateBAT(address,uint256)	_to,_value,
0x0d8775f648430679a709e98d2b0cb6250d2887ef	0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef	event	0	Transfer	Transfer(address,address,uint256)	_from,_to,_value,
0x0d8775f648430679a709e98d2b0cb6250d2887ef	0x8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925	event	0	Approval	Approval(address,address,uint256)	_owner,_spender,_value,
address	encoding	type	constant	name	signature	input_names
0x1985365e9f78359a9b6ad760e32412f4a445e862	0x06fdde03	function	1	name	name()	
0x1985365e9f78359a9b6ad760e32412f4a445e862	0x095ea7b3	function	0	approve	approve(address,uint256)	_spender,_value,
0x1985365e9f78359a9b6ad760e32412f4a445e862	0x18160ddd	function	1	totalSupply	totalSupply()	
0x1985365e9f78359a9b6ad760e32412f4a445e862	0x238d3590	function	1	getTotalTheoreticalSupply	getTotalTheoreticalSupply()	
0x1985365e9f78359a9b6ad760e32412f4a445e862	0x23b872dd	function	0	transferFrom	transferFrom(address,address,uint256)	_from,_to,_value,
0x1985365e9f78359a9b6ad760e32412f4a445e862	0x3018205f	function	1	getController	getController()	
0x1985365e9f78359a9b6ad760e32412f4a445e862	0x313ce567	function	1	decimals	decimals()	
0x1985365e9f78359a9b6ad760e32412f4a445e862	0x398c1a89	function	0	migrateOutByPayout	migrateOutByPayout(uint256[],bool,uint256)	_payoutNumerators,_invalid,_attotokens,
0x1985365e9f78359a9b6ad760e32412f4a445e862	0x9013691b	function	1	ETERNALAPPROVALVALUE	ETERNALAPPROVALVALUE()	
0x1985365e9f78359a9b6ad760e32412f4a445e862	0x66188463	function	0	decreaseApproval	decreaseApproval(address,uint256)	_spender,_subtractedValue,
0x1985365e9f78359a9b6ad760e32412f4a445e862	0x6e7ce591	function	0	migrateOut	migrateOut(address,uint256)	_destination,_attotokens,
0x1985365e9f78359a9b6ad760e32412f4a445e862	0x70a08231	function	1	balanceOf	balanceOf(address)	_owner,
0x1985365e9f78359a9b6ad760e32412f4a445e862	0x77469275	function	1	getLegacyRepToken	getLegacyRepToken()	
0x1985365e9f78359a9b6ad760e32412f4a445e862	0x7cf99c33	function	1	getIsMigratingFromLegacy	getIsMigratingFromLegacy()	
0x1985365e9f78359a9b6ad760e32412f4a445e862	0x7f686259	function	0	migrateBalancesFromLegacyRep	migrateBalancesFromLegacyRep(address[])	_holders,
0x1985365e9f78359a9b6ad760e32412f4a445e862	0x870c426d	function	1	getUniverse	getUniverse()	
0x1985365e9f78359a9b6ad760e32412f4a445e862	0x90fbf84e	function	0	trustedFeeWindowTransfer	trustedFeeWindowTransfer(address,address,uint256)	_source,_destination,_attotokens,
0x1985365e9f78359a9b6ad760e32412f4a445e862	0x91d76bbb	function	1	getTotalMigrated	getTotalMigrated()	
0x1985365e9f78359a9b6ad760e32412f4a445e862	0x92eefe9b	function	0	setController	setController(address)	_controller,
0x1985365e9f78359a9b6ad760e32412f4a445e862	0x95d89b41	function	1	symbol	symbol()	
